,index,Cell Type,Duration,Frequency,Amplitude,Modulation Index
67,139,Lhx6,10000,150,1.5,0.033816425
68,140,Lhx6,30000,200,1.25,-0.028226014
69,141,Lhx6,30000,150,0.5,-0.09550531
70,142,Lhx6,30000,20,0.5,-0.012658228
71,143,Lhx6,50,150,1.25,0.739130435
72,144,Lhx6,1000,80,2.0,-0.884057971
73,156,Lhx6,250,100,1.0,-1.0
74,157,Lhx6,500,10,1.5,-0.1
75,158,Lhx6,1000,100,2.0,-1.0
76,159,Lhx6,1000,200,0.5,0.517241379
77,160,Lhx6,250,80,2.0,-1.0
78,161,Lhx6,10000,10,1.25,-0.07569614
79,162,Lhx6,50,50,2.0,0.0
80,163,Lhx6,50,20,2.0,0.081081081
81,164,Lhx6,250,100,1.5,-1.0
82,165,Lhx6,30000,80,1.25,0.200560449
83,166,Lhx6,10000,200,2.5,-0.115702479
84,183,Lhx6,250,100,1.0,-0.083333333
85,184,Lhx6,50,20,2.5,-0.304347826
86,185,Lhx6,500,10,2.5,0.025641026
87,186,Lhx6,100,10,1.0,0.165048544
88,187,Lhx6,10000,200,2.5,-0.046025105
89,188,Lhx6,250,150,1.25,-0.294117647
90,189,Lhx6,1000,150,0.5,-0.024390244
91,190,Lhx6,50,200,2.0,-0.223300971
92,191,Lhx6,100,150,2.0,-0.402985075
93,192,Lhx6,1000,80,1.5,0.041666667
94,193,Lhx6,10000,200,2.0,-0.229946524
95,216,Lhx6,250,100,1.0,-0.257382278
96,217,Lhx6,250,80,2.0,-0.652173913
97,218,Lhx6,250,200,2.5,-1.0
98,219,Lhx6,10000,20,2.5,0.08045977
99,220,Lhx6,500,10,2.0,0.129411765
100,221,Lhx6,50,20,1.25,0.126760563
101,222,Lhx6,50,150,2.0,0.142857143
102,223,Lhx6,1000,10,0.5,0.037037037
103,224,Lhx6,10000,20,0.5,0.080882353
104,225,Lhx6,100,150,1.25,-1.0
105,226,Lhx6,1000,200,2.0,-0.789473684
106,227,Lhx6,250,100,1.0,-0.496062992
107,228,Lhx6,500,100,1.5,-1.0
108,229,Lhx6,10000,50,1.25,-0.081967213
109,230,Lhx6,50,100,1.0,-1.0
110,231,Lhx6,10000,50,2.5,0.038461538
111,232,Lhx6,1000,200,2.0,-0.875
112,233,Lhx6,50,150,0.5,0.212121212
113,234,Lhx6,100,150,2.0,-1.0
114,235,Lhx6,250,80,0.5,0.333333333
115,236,Lhx6,1000,100,1.5,-1.0
116,237,Lhx6,100,20,2.0,-1.0
117,258,Lhx6,250,100,1.5,-0.189873418
118,259,Lhx6,30000,20,1.5,-0.008404421
119,260,Lhx6,1000,150,2.5,0.098039216
120,261,Lhx6,30000,80,1.5,0.074074074
121,262,Lhx6,500,80,2.0,-0.619047619
122,263,Lhx6,10000,50,2.0,0.203539823
123,264,Lhx6,100,100,2.0,0.111111111
124,265,Lhx6,30000,20,2.5,0.147426026
125,266,Lhx6,30000,10,0.5,0.028571429
126,267,Lhx6,50,20,1.25,0.403508772
127,268,Lhx6,50,20,1.5,-1.0
128,269,Lhx6,100,150,0.07,0.333333333
129,270,Lhx6,250,20,0.07,0.20754717
130,271,Lhx6,250,100,0.035,0.411764706
131,272,Lhx6,500,80,0.105,-0.466666667
132,273,Lhx6,500,200,0.14,-0.666666667
133,274,Lhx6,500,20,0.07,0.290322581
134,275,Lhx6,1000,80,0.105,-0.538461538
135,276,Lhx6,1000,100,0.14,-0.851851852
136,277,Lhx6,1000,10,0.175,0.169230769
137,278,Lhx6,5000,150,0.07,0.298892989
138,279,Lhx6,5000,50,0.035,0.253731343
139,280,Lhx6,10000,50,0.105,0.370786517
140,281,Lhx6,30000,20,0.14,0.218901428
141,308,Lhx6,100,150,0.07,-1.0
142,309,Lhx6,250,20,0.07,-1.0
143,310,Lhx6,250,100,0.035,-1.0
144,311,Lhx6,500,80,0.105,-0.466666667
145,312,Lhx6,500,200,0.14,-0.384615385
146,313,Lhx6,500,20,0.07,-1.0
147,314,Lhx6,1000,80,0.105,-1.0
148,315,Lhx6,1000,100,0.14,-0.636363636
149,316,Lhx6,1000,10,0.175,-0.692307692
150,317,Lhx6,5000,150,0.07,-0.333333333
151,318,Lhx6,5000,50,0.035,-0.489361702
152,319,Lhx6,10000,50,0.105,0.175257732
153,320,Lhx6,30000,20,0.14,-0.111111111
154,321,Lhx6,50,200,0.035,-1.0
155,322,Lhx6,100,50,0.105,-0.420289855
156,323,Lhx6,250,80,0.07,-1.0
157,324,Lhx6,250,200,0.105,-1.0
158,325,Lhx6,500,10,0.175,-1.0
159,326,Lhx6,500,50,0.07,-1.0
160,327,Lhx6,500,100,0.105,-1.0
161,328,Lhx6,1000,150,0.14,-1.0
162,329,Lhx6,1000,20,0.175,-0.714285714
163,330,Lhx6,1000,200,0.07,-0.4
164,331,Lhx6,5000,80,0.035,0.166666667
165,332,Lhx6,10000,10,0.105,-0.428571429
166,333,Lhx6,20000,150,0.07,0.642857143
167,334,Lhx6,30000,80,0.14,-0.41025641
168,363,Lhx6,50,200,0.041666667,0.15942029
169,364,Lhx6,100,50,0.125,-1.0
170,365,Lhx6,250,80,0.083333333,-1.0
171,366,Lhx6,250,200,0.125,-1.0
172,367,Lhx6,500,10,0.208333333,-1.0
173,368,Lhx6,500,50,0.083333333,-1.0
174,369,Lhx6,500,100,0.125,-1.0
175,370,Lhx6,1000,150,0.166666667,0.0
176,371,Lhx6,1000,20,0.208333333,-1.0
177,372,Lhx6,1000,200,0.083333333,-0.04
178,373,Lhx6,5000,80,0.041666667,0.078947368
179,374,Lhx6,10000,10,0.125,-0.485148515
180,375,Lhx6,20000,150,0.083333333,-0.088435374
181,376,Lhx6,30000,80,0.166666667,0.094827586
182,390,Lhx6,100,150,0.083333333,-0.111111111
183,391,Lhx6,250,20,0.083333333,0.163636364
184,392,Lhx6,250,100,0.041666667,-0.466666667
185,393,Lhx6,500,80,0.125,-0.428571429
186,394,Lhx6,500,200,0.166666667,-0.692307692
187,395,Lhx6,500,20,0.083333333,-0.047619048
188,396,Lhx6,1000,80,0.125,-0.368421053
189,397,Lhx6,1000,100,0.166666667,-0.764705882
190,398,Lhx6,1000,10,0.208333333,-0.03030303
191,399,Lhx6,5000,150,0.083333333,0.202453988
192,400,Lhx6,5000,50,0.041666667,-0.014492754
193,401,Lhx6,10000,50,0.125,0.179487179
194,402,Lhx6,30000,20,0.166666667,0.138242122
