,index,Cell Type,Duration,Frequency,Amplitude,Modulation Index
0,1,Lhx6,100,20,1.25,-0.238095238
1,2,Lhx6,30000,150,2.0,0.16496945
2,3,Lhx6,500,50,1.0,-1.0
3,4,Lhx6,500,10,2.5,-0.833333333
4,5,Lhx6,100,10,1.0,-0.459459459
5,6,Lhx6,1000,200,1.25,-0.911111111
6,7,Lhx6,1000,150,1.5,-1.0
7,8,Lhx6,50,150,2.5,-1.0
8,9,Lhx6,10000,10,2.5,-0.423357664
9,10,Lhx6,50,80,1.0,-1.0
10,11,Lhx6,1000,150,2.0,-1.0
11,12,Lhx6,5000,80,0.5,0.032258065
12,30,Lhx6,5000,50,1.0,-0.515151515
13,31,Lhx6,30000,80,1.25,0.128329509
14,32,Lhx6,500,20,2.5,0.333333333
15,33,Lhx6,20000,200,1.25,0.568345324
16,34,Lhx6,500,200,1.5,0.290322581
17,35,Lhx6,5000,50,1.5,-0.538461538
18,36,Lhx6,500,50,2.0,-1.0
19,37,Lhx6,10000,20,0.5,-0.45
20,38,Lhx6,500,80,2.0,-1.0
21,39,Lhx6,250,200,1.0,-1.0
22,40,Lhx6,100,20,2.5,-1.0
23,41,Lhx6,10000,20,2.5,-1.0
24,42,Lhx6,250,20,1.0,-1.0
25,43,Lhx6,5000,50,1.0,-1.0
26,44,Lhx6,30000,100,1.0,-0.25
27,64,Lhx6,250,100,1.5,-1.0
28,65,Lhx6,500,10,1.5,-1.0
29,66,Lhx6,1000,10,1.25,-1.0
30,67,Lhx6,10000,100,1.0,-1.0
31,68,Lhx6,5000,20,0.5,-0.19047619
32,69,Lhx6,1000,150,1.0,-1.0
33,70,Lhx6,5000,200,0.5,-1.0
34,71,Lhx6,50,100,2.0,-1.0
35,72,Lhx6,5000,80,0.5,-0.136363636
36,73,Lhx6,10000,200,2.0,-1.0
37,74,Lhx6,10000,100,2.5,-1.0
38,99,Lhx6,500,10,1.0,-0.03030303
39,100,Lhx6,30000,20,2.0,-0.032324262
40,101,Lhx6,10000,50,1.0,-0.025641026
41,102,Lhx6,500,80,2.5,-1.0
42,103,Lhx6,250,50,2.0,-1.0
43,104,Lhx6,30000,100,2.5,-0.096447814
44,105,Lhx6,500,150,2.0,-1.0
45,107,Lhx6,100,150,1.0,-1.0
46,108,Lhx6,50,100,2.5,-1.0
47,109,Lhx6,250,100,1.0,-0.36
48,110,Lhx6,1000,10,1.5,0.014084507
49,111,Lhx6,10000,200,2.0,-0.182795699
50,116,Lhx6,1000,20,2.5,-1.0
51,122,Lhx6,1000,20,2.0,-0.176470588
52,123,Lhx6,1000,50,1.5,-0.746031746
53,124,Lhx6,1000,80,1.0,-0.076923077
54,125,Lhx6,10000,100,2.0,0.082278481
55,126,Lhx6,10000,200,2.0,-0.146953405
56,128,Lhx6,500,20,1.5,-0.119266055
57,129,Lhx6,500,100,2.5,-1.0
58,130,Lhx6,30000,80,1.5,-0.105990146
59,131,Lhx6,100,100,2.5,-1.0
60,132,Lhx6,500,20,2.0,-0.225806452
61,133,Lhx6,50,10,0.5,-0.166666667
62,134,Lhx6,250,100,2.0,-0.68627451
63,135,Lhx6,250,80,1.25,-0.666666667
64,136,Lhx6,10000,100,1.25,-0.052631579
65,137,Lhx6,30000,150,2.0,0.033333333
66,138,Lhx6,50,10,1.5,0.31147541
